Index Name,Date,Open,High,Low,Close,Daily Return,Vol20,
NIFTY 50,3-Jul-90,-,-,-,279.02,,,
NIFTY 50,5-Jul-90,-,-,-,284.04,0.017831609,,
NIFTY 50,6-Jul-90,-,-,-,289.04,0.017450014,,
NIFTY 50,9-Jul-90,-,-,-,289.69,0.002246299,,
NIFTY 50,10-Jul-90,-,-,-,288.69,-0.003457938,,
NIFTY 50,11-Jul-90,-,-,-,293.3,0.015842528,,
NIFTY 50,12-Jul-90,-,-,-,296.21,0.009872686,,
NIFTY 50,13-Jul-90,-,-,-,296.34,0.000438782,,
NIFTY 50,16-Jul-90,-,-,-,287.96,-0.028685862,,
NIFTY 50,17-Jul-90,-,-,-,295.39,0.025474936,,
NIFTY 50,18-Jul-90,-,-,-,298.23,0.009568484,,
NIFTY 50,19-Jul-90,-,-,-,301.5,0.010905015,,
NIFTY 50,20-Jul-90,-,-,-,302.59,0.003608738,,
NIFTY 50,25-Jul-90,-,-,-,321.76,0.061427172,,
NIFTY 50,26-Jul-90,-,-,-,323.58,0.005640453,,
NIFTY 50,27-Jul-90,-,-,-,329.65,0.018585107,,
NIFTY 50,30-Jul-90,-,-,-,347.44,0.052560503,,
NIFTY 50,3-Aug-90,-,-,-,337.29,-0.029648894,,
NIFTY 50,7-Aug-90,-,-,-,331.45,-0.017466126,,
NIFTY 50,8-Aug-90,-,-,-,322.11,-0.028583867,0.024166431,
NIFTY 50,9-Aug-90,-,-,-,325.69,0.011052907,0.023534852,
NIFTY 50,10-Aug-90,-,-,-,333.35,0.02324698,0.023687805,
NIFTY 50,13-Aug-90,-,-,-,348.98,0.045821625,0.025091238,
NIFTY 50,16-Aug-90,-,-,-,349.39,0.001174163,0.025108516,
NIFTY 50,17-Aug-90,-,-,-,347.99,-0.004015033,0.025123799,
NIFTY 50,20-Aug-90,-,-,-,353.19,0.014832412,0.025111053,
NIFTY 50,21-Aug-90,-,-,-,363.66,0.029213209,0.02550398,
NIFTY 50,22-Aug-90,-,-,-,369.95,0.017148496,0.025439013,
NIFTY 50,23-Aug-90,-,-,-,368.14,-0.004904561,0.023996721,
NIFTY 50,27-Aug-90,-,-,-,384.78,0.044208442,0.024887857,
NIFTY 50,28-Aug-90,-,-,-,384.39,-0.00101408,0.025081292,
NIFTY 50,29-Aug-90,-,-,-,384.88,0.001273935,0.025209489,
NIFTY 50,30-Aug-90,-,-,-,400.06,0.038682938,0.02579301,
NIFTY 50,3-Sep-90,-,-,-,407.13,0.017518009,0.023287213,
NIFTY 50,4-Sep-90,-,-,-,392.47,-0.036672444,0.025672903,
NIFTY 50,5-Sep-90,-,-,-,389.82,-0.006775007,0.025834171,
NIFTY 50,6-Sep-90,-,-,-,396.51,0.017016167,0.023775674,
NIFTY 50,7-Sep-90,-,-,-,404.11,0.018985857,0.022314734,
NIFTY 50,10-Sep-90,-,-,-,411.11,0.0171737,0.021477993,
NIFTY 50,11-Sep-90,-,-,-,422.07,0.026310358,0.019610652,
NIFTY 50,12-Sep-90,-,-,-,414.16,-0.018918804,0.020910693,
NIFTY 50,14-Sep-90,-,-,-,396.5,-0.043576332,0.024114745,
NIFTY 50,18-Sep-90,-,-,-,415.18,0.04603612,0.024132177,
NIFTY 50,19-Sep-90,-,-,-,419.46,0.010256009,0.024068773,
NIFTY 50,20-Sep-90,-,-,-,421.32,0.00442447,0.023899404,
NIFTY 50,21-Sep-90,-,-,-,434.08,0.029836209,0.02430561,
NIFTY 50,25-Sep-90,-,-,-,452.36,0.041249474,0.02493902,
NIFTY 50,26-Sep-90,-,-,-,436.16,-0.036469174,0.027027842,
NIFTY 50,27-Sep-90,-,-,-,439.72,0.008129012,0.026850979,
NIFTY 50,4-Oct-90,-,-,-,439.55,-0.000386684,0.025584943,
NIFTY 50,9-Oct-90,-,-,-,480.38,0.088825981,0.031394831,
NIFTY 50,11-Oct-90,-,-,-,449.25,-0.066997932,0.035911466,
NIFTY 50,12-Oct-90,-,-,-,429.29,-0.045446844,0.03700586,
NIFTY 50,15-Oct-90,-,-,-,398.92,-0.073371786,0.040603129,
NIFTY 50,18-Oct-90,-,-,-,405.72,0.016902371,0.039888079,
NIFTY 50,22-Oct-90,-,-,-,383.75,-0.055671968,0.04188103,
NIFTY 50,25-Oct-90,-,-,-,404.15,0.051794797,0.043355111,
NIFTY 50,26-Oct-90,-,-,-,397.04,-0.017749065,0.043329125,
NIFTY 50,31-Oct-90,-,-,-,403.66,0.016535908,0.043315369,
NIFTY 50,1-Nov-90,-,-,-,412.9,0.022632493,0.043201362,
NIFTY 50,5-Nov-90,-,-,-,416.08,0.007672117,0.043032907,
NIFTY 50,7-Nov-90,-,-,-,428.21,0.02873618,0.042188026,
NIFTY 50,8-Nov-90,-,-,-,435.18,0.016146009,0.041131002,
NIFTY 50,9-Nov-90,-,-,-,430.25,-0.011393304,0.041196876,
NIFTY 50,12-Nov-90,-,-,-,403.06,-0.065281001,0.043783318,
